Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2019,II,Masdevallia veitchiana,,Orchidales,Orchidaceae,Masdevallia,CZ,EC,,1,,live,,G,A
2019,II,Masdevallia venusta,,Orchidales,Orchidaceae,Masdevallia,CZ,EC,,1,,live,,G,A
2019,II,Maxillaria longissima,,Orchidales,Orchidaceae,Maxillaria,CZ,EC,,2,,live,,G,A
2019,II,Maxillaria striata,,Orchidales,Orchidaceae,Maxillaria,CZ,EC,,2,,live,,G,A
2019,II,Maxillaria vulcanica,,Orchidales,Orchidaceae,Maxillaria,CZ,EC,,1,,live,,G,A
2019,II,Microchilus anchorifer,,Orchidales,Orchidaceae,Microchilus,CZ,EC,,1,,live,,G,A
2019,II,Microchilus tridax,,Orchidales,Orchidaceae,Microchilus,CZ,EC,,2,,live,,G,A
2019,II,Miltoniopsis roezlii,,Orchidales,Orchidaceae,Miltoniopsis,CZ,EC,,2,,live,,G,A
2019,II,Muscarella macroblepharis,,Orchidales,Orchidaceae,Muscarella,CZ,EC,,2,,live,,G,A
2019,II,Myoxanthus georgei,,Orchidales,Orchidaceae,Myoxanthus,CZ,EC,,2,,live,,G,A
2019,II,Myoxanthus sarcodactylae,,Orchidales,Orchidaceae,Myoxanthus,CZ,EC,,2,,live,,G,A
2019,II,Myoxanthus uxorius,,Orchidales,Orchidaceae,Myoxanthus,CZ,EC,,2,,live,,G,A
2019,II,Octomeria bomboizae,,Orchidales,Orchidaceae,Octomeria,CZ,EC,,1,,live,,G,A
2019,II,Octomeria portillae,,Orchidales,Orchidaceae,Octomeria,CZ,EC,,2,,live,,G,A
2019,II,Octomeria scirpoidea,,Orchidales,Orchidaceae,Octomeria,CZ,EC,,2,,live,,G,A
2019,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,JP,SG,,10,9,live,,G,A
2019,II,Orchidaceae spp.,,Orchidales,Orchidaceae,,US,JP,,,2,live,,G,A
2019,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,JM,SG,,,1,live,,G,A
2019,II,Orchidaceae hybrid,,Orchidales,Orchidaceae,,JP,SG,,,3,live,,G,A
2019,II,Pabstiella piraquarensis,,Orchidales,Orchidaceae,Pabstiella,CZ,EC,,2,,live,,G,A
2019,II,Paphinia cristata,,Orchidales,Orchidaceae,Paphinia,CZ,EC,,2,,live,,G,A
2019,II,Peristeria pendula,,Orchidales,Orchidaceae,Peristeria,CZ,EC,,1,,live,,G,A
2019,II,Phalaenopsis amabilis,,Orchidales,Orchidaceae,Phalaenopsis,TH,DE,,,25,extract,kg,G,A
2019,II,Platystele stellaris,,Orchidales,Orchidaceae,Platystele,CZ,EC,,2,,live,,G,A
2019,II,Pleione formosana,,Orchidales,Orchidaceae,Pleione,US,JP,,,1,live,,G,A
2019,II,Pleurothallis ensata,,Orchidales,Orchidaceae,Pleurothallis,CZ,EC,,2,,live,,G,A
2019,II,Pleurothallis geographica,,Orchidales,Orchidaceae,Pleurothallis,CZ,EC,,2,,live,,G,A
2019,II,Pleurothallis nipterophylla,,Orchidales,Orchidaceae,Pleurothallis,CZ,EC,,1,,live,,G,A
2019,II,Pleurothallis perryi,,Orchidales,Orchidaceae,Pleurothallis,CZ,EC,,1,,live,,G,A
2019,II,Pleurothallis teaguei,,Orchidales,Orchidaceae,Pleurothallis,CZ,EC,,1,,live,,G,A
2019,II,Pleurothallis tragulosa,,Orchidales,Orchidaceae,Pleurothallis,CZ,EC,,2,,live,,G,A
2019,II,Polycycnis barbata,,Orchidales,Orchidaceae,Polycycnis,CZ,EC,,2,,live,,G,A
2019,II,Ponthieva gimana,,Orchidales,Orchidaceae,Ponthieva,CZ,EC,,1,,live,,G,A
2019,II,Ponthieva pilosissima,,Orchidales,Orchidaceae,Ponthieva,CZ,EC,,1,,live,,G,A
2019,II,Renanthera hybrid,,Orchidales,Orchidaceae,Renanthera,JP,SG,,,1,live,,G,A
2019,II,Schomburgkia rosea,,Orchidales,Orchidaceae,Schomburgkia,CZ,EC,,2,,live,,G,A
2019,II,Specklinia brighamii,,Orchidales,Orchidaceae,Specklinia,CZ,EC,,1,,live,,G,A
2019,II,Stelis brenneri,,Orchidales,Orchidaceae,Stelis,CZ,EC,,1,,live,,G,A
2019,II,Stelis dactyloptera,,Orchidales,Orchidaceae,Stelis,CZ,EC,,2,,live,,G,A
2019,II,Stelis fornicata,,Orchidales,Orchidaceae,Stelis,CZ,EC,,1,,live,,G,A
2019,II,Stelis gemma,,Orchidales,Orchidaceae,Stelis,CZ,EC,,1,,live,,G,A
2019,II,Stelis patinaria,,Orchidales,Orchidaceae,Stelis,CZ,EC,,2,,live,,G,A
2019,II,Stelis uniflora,,Orchidales,Orchidaceae,Stelis,CZ,EC,,1,,live,,G,A
2019,II,Sudamerlycaste fimbriata,,Orchidales,Orchidaceae,Sudamerlycaste,CZ,EC,,1,,live,,G,A
2019,II,Teagueia teaguei,,Orchidales,Orchidaceae,Teagueia,CZ,EC,,4,,live,,G,A
2019,II,Telipogon asuayanus,,Orchidales,Orchidaceae,Telipogon,CZ,EC,,2,,live,,G,A
2019,II,Telipogon nervosus,,Orchidales,Orchidaceae,Telipogon,CZ,EC,,3,,live,,G,A
2019,II,Trichopilia rostrata,,Orchidales,Orchidaceae,Trichopilia,CZ,EC,,1,,live,,G,A
2019,II,Trichosalpinx berlineri,,Orchidales,Orchidaceae,Trichosalpinx,CZ,EC,,3,,live,,G,A
2019,II,Trisetella abbreviata,,Orchidales,Orchidaceae,Trisetella,CZ,EC,,1,,live,,G,A
2019,II,Trisetella pantex,,Orchidales,Orchidaceae,Trisetella,CZ,EC,,2,,live,,G,A
2019,II,Zootrophion griffin,,Orchidales,Orchidaceae,Zootrophion,CZ,EC,,1,,live,,G,A
