"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.214378348959863","0.216482528651453","0.207275800421449","0.232580702104091","0.218589849092047","0.228555262306782","0.231728573081993","0.226313652176373","0.23582890836347","0.234003792467097","0.638551750501678","0.666218005816907","0.697152559148237","0.718600163537875","0.680205850356498","0.69839957884859","0.690206973106014","0.704535883890798","0.663963977610593","0.733835084058044","0.726844687902011","0.70057713924946","0.38327436194195","0.234892668376631","0.237179758908967","0.230989245172918","0.222544557407025","","","","",
"Afghanistan","AFG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0398200756612931","0.0414752969754883","0.03088894685131","0.0402115523765335","0.0474449206594631","0.0574283325840179","0.102229907931993","0.135538116620974","0.148177456612933","0.213395356388661","0.16629735257903","0.132510852216739","0.120685753203755","0.126944852875204","0.119151198570297","","","","",
"Angola","AGO","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0746518388844273","0.0735481157568257","0.0797402431328025","0.116594998739262","0.0775062234189473","0.190120990562379","0.159553842870202","0.104979844410385","0.0992794797956801","0.121730247915102","0.123089149900459","0.120481586870539","0.137947144288907","0.0958615444830773","0.179122984562696","0.158728017088611","0.165394716110855","0.163873094870346","0.150679545151589","0.16150010911304","0.161729231358674","0.164527853790127","0.169370844606294","0.159089852308496","0.202035839440795","0.154328284395559","0.158919401952622","","","","",
"Albania","ALB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.346520464337728","0.374089901407512","0.236525134142733","0.200467014478591","0.152553733874569","0.1459016813561","0.129266494445044","0.111077243006405","0.115883582659764","0.174808821883055","0.16545702722842","0.162988981498272","0.181452381395343","0.19681934697866","0.180965424201645","0.175105454906309","0.151523030018786","0.144049253206678","0.149263507469095","0.144546228742729","0.14638357678983","0.162671396298915","0.150744670322428","0.148915818768446","0.163462792774029","0.134490704664229","0.127900923211946","","","","",
"Andorra","AND","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.303362624875077","0.337074613418161","0.347302448253752","0.376225469174624","0.375778131110385","0.345188749155121","0.33765608753187","0.317829639377365","0.315370809499639","0.313877288837988","0.338832648565959","0.331262727336119","0.33595159708271","0.34360536790944","0.34667492197608","0.345574418384952","0.341353545453162","0.321065019552347","0.332418031760198","0.349298938782622","0.346939828434758","0.337909865794408","0.353234649844979","0.339179941991483","0.350315248038072","0.34161561210939","0.321398626012598","","","","",
"United Arab Emirates","ARE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.255213201378428","0.277371806029644","0.27369403462474","0.306751734388011","0.318062067955606","0.287973647320859","0.282943476661514","0.26247701700061","0.289397250530953","0.270466163448608","0.350415210219147","0.311321690678852","0.253731267469757","0.294161352800289","0.284547546145506","0.278318358460337","0.27010647768992","0.286790992586908","0.322232895591052","0.364094937597593","0.337797727974271","0.341801015875117","0.418937765649026","0.400455722292299","0.393452563048573","0.322397759259626","0.331386875036734","","","","",
"Argentina","ARG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.243068870460469","0.232558621910103","0.223283868206339","0.200524975134486","0.196666793514796","0.211613379685103","0.211558249369023","0.20003936533758","0.195151486450009","0.212346718280423","0.20697623183246","0.203702283492492","0.213211102703461","0.212154262198521","0.227037728052109","0.214559603651351","0.214903305488694","0.19685258434314","0.204221586554397","0.206571096564951","0.195856945731237","0.188420005911315","0.191769352881637","0.187919608979071","0.194828462930135","0.19487059595456","0.199188426459211","","","","",
"Armenia","ARM","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.618640405245967","0.297544768274725","0.298906445346786","0.352358025611951","0.250163733127438","0.305510979534626","0.296024632935547","0.256879833827899","0.278865020896327","0.260093085184829","0.197416453324102","0.195079670107298","0.187682814710697","0.196607050775787","0.174852682523579","0.177611783040633","0.182412954658266","0.166770216889508","0.157553346139969","0.175779343982953","0.189895962861218","0.177437572551995","0.172300104449868","0.145035994612447","0.155353878826663","","","","",
"American Samoa","ASM","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
